Device Name,Port,Description,PID,VID,SN,Operational_State
ARG55a1-2,HundredGigE0/0/0/17,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N04Z,UP/UP
ARG55a1-2,HundredGigE0/0/0/18,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2245N2CR,UP/UP
ARG55a1-2,HundredGigE0/0/0/25,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2217N3BG,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/26,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2245N2BM,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/27,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS213700WX,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/28,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS21350T21,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/30,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N1EX,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/31,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2307N0J4,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/32,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440225-B,UP/UP
ARG55a1-2,HundredGigE0/0/0/34,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N065,DOWN/DOWN
DRE-9364-1,"""Chassis""","""Nexus9000 C9364D-GX2A Chassis""",N9K-C9364D-GX2A,N/A,FDO24430U8N,DOWN
DRE-9364-1,"""Slot 1""","""64x400G QSFP-DD + 2x10G SFP+ Ethernet Module""",N9K-C9364D-GX2A,N/A,FDO24430U8N,DOWN
DRE-9364-1,"""Slot 27""","""64x400G QSFP-DD + 2x10G SFP+ Ethernet Module""",N9K-C9364D-GX2A,N/A,FDO24430U8N,DOWN
DRE-9364-1,"""Power Supply 1""","""Nexus9000 C9364D-GX2A Chassis Power Supply""",NXA-PAC-3KW-PI,N/A,DTM244101SY,DOWN
DRE-9364-1,"""Power Supply 2""","""Nexus9000 C9364D-GX2A Chassis Power Supply""",NXA-PAC-3KW-PI,N/A,DTM244101SZ,DOWN
