Device Name,Port,Description,PID,VID,SN
N3264-1-CRE-DSC,Ethernet1/26,CISCO-AVAGO,SFP-10G-SR,N/A,AVD1839AFUM
N3264-1-CRE-DSC,Ethernet1/40,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2212S0YV
N3264-1-CRE-DSC,Ethernet1/41,CISCO-LUXTERA,QSFP-100G-PSM4-S,N/A,CVR2205004S
N3264-1-CRE-DSC,Ethernet1/42,CISCO-LUXTERA,QSFP-100G-PSM4-S,N/A,CVR22050038
N3264-1-CRE-DSC,Ethernet1/43,CISCO-LUXTERA,QSFP-100G-PSM4-S,N/A,CVR214904R1
N3264-1-CRE-DSC,Ethernet1/45,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2145S2CG
N3264-1-CRE-DSC,Ethernet1/50,CISCO-INNOLIGHT,QSFP-100G-LR4-S,N/A,INL26070CYB
N3264-1-CRE-DSC,Ethernet1/60,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2444AB21
N3264-1-CRE-DSC,Ethernet1/61,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2628A02K
N3264-1-CRE-DSC,Ethernet1/65,CISCO-AVAGO,SFP-10G-SR,N/A,AVD2025A3BS
N3264-2-CRE-DSC,"""Chassis""","""Nexus3000 C3264C Chassis""",N3K-C3264C-E,N/A,FOC23332MLU
N3264-2-CRE-DSC,"""Slot 1""","""64x100G QSFP28 + 2x10G SFP+ Ethernet Module""",N3K-C3264C-E,N/A,FOC23332MLU
N3264-2-CRE-DSC,"""Power Supply 1""","""Nexus3000 C3264C Chassis Power Supply""",NXA-PAC-1200W-PI,N/A,LIT22143PA7
N3264-2-CRE-DSC,"""Power Supply 2""","""Nexus3000 C3264C Chassis Power Supply""",NXA-PAC-1200W-PI,N/A,LIT22143P9Z
N3264-2-CRE-DSC,"""Fan 1""","""Nexus3000 C3264C Chassis Fan Module""",NXA-FAN-160CFM-PI,N/A,N/A
N3264-2-CRE-DSC,"""Fan 2""","""Nexus3000 C3264C Chassis Fan Module""",NXA-FAN-160CFM-PI,N/A,N/A
N3264-2-CRE-DSC,"""Fan 3""","""Nexus3000 C3264C Chassis Fan Module""",NXA-FAN-160CFM-PI,N/A,N/A
N3264-2-CRE-DSC,Ethernet1/1,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2109G058
N3264-2-CRE-DSC,Ethernet1/2,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2111G1F8
N3264-2-CRE-DSC,Ethernet1/3,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2014G05E
N3264-2-CRE-DSC,Ethernet1/4,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2225S1TN
N3264-2-CRE-DSC,Ethernet1/5,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2111G1FE
N3264-2-CRE-DSC,Ethernet1/6,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2125G1MR
